uid,frequency,intensity
474,890.0217,0.0562
474,897.555,1.777
474,937.9129,17.3329
474,959.3471,2.2197
474,977.9536,0.738
474,997.6471,0.8246
474,1029.4437,4.3047
474,1045.123,0.484
474,1112.2059,4.2996
474,1152.1615,3.014
474,1161.4836,4.1895
474,1193.1804,48.6474
474,1228.614,27.002
474,1279.1448,6.8468
474,1344.9045,81.535
474,1357.0007,25.3181
474,1380.1608,25.9229
474,1409.4507,14.059
474,1448.5749,19.6029
474,1486.915,5.136
474,1497.1642,15.2632
474,1536.1409,2.7934
474,1571.9155,146.3989
474,1604.1609,22.6346
474,1648.011,251.5511
474,3069.9215,2.4833
474,3077.3603,0.0248
474,3078.2988,0.741
474,3080.4954,0.0169
474,3090.6835,0.3133
474,3093.0721,0.8308
474,3103.4613,1.0011
474,3421.7862,401.0496
474,3528.038,73.4429
425,12.9934,9.8847
425,113.1944,0.006
425,127.0996,0.999
425,177.9799,0.3725
425,266.2439,0.0455
425,346.5724,2.6606
425,386.2133,17.675
425,391.6513,2.8464
425,428.5965,30.6239
425,439.0832,0.9972
425,493.9187,80.7204
425,514.6142,9.8647
425,520.8847,68.7592
425,527.5675,6.3066
425,659.7735,76.9796
425,660.8869,0.0008
425,684.8713,4.6146
425,749.8601,22.3892
425,774.5798,61.9666
425,795.0598,33.5481
425,870.894,25.3984
425,898.2582,44.4447
425,899.2212,400.1876
425,948.0119,2.2084
425,975.6632,7.0469
425,1006.2275,1.1693
425,1042.705,14.7599
425,1067.8195,0.5774
425,1074.5157,8.8023
425,1134.3621,96.9063
425,1137.1104,142.6
425,1144.0575,5.4219
425,1168.1478,0.8592
425,1245.5806,26.826
425,1248.5878,115.0409
425,1282.6117,141.1878
425,1289.0581,16.9089
425,1346.1423,0.1674
425,1410.8895,21.1438
425,1417.7913,1.7785
425,1429.0259,1.3449
425,1465.563,0.5298
425,1538.4193,33.9686
425,1561.4187,3.3995
425,1655.2701,54.8916
425,1679.5748,2.5297
425,2939.8719,17.1007
425,2945.1899,1.038
425,3014.4306,7.8702
425,3018.8262,10.087
425,3086.1324,0.9028
425,3092.4087,1.1775
425,3096.5111,4.3721
425,3102.4553,1.8047
423,105.2174,1.7916
423,132.7355,0.6633
423,238.382,0.1581
423,243.2345,1.1885
423,280.1871,4.1359
423,354.9193,0.9706
423,404.5209,25.2679
423,455.0925,20.8101
423,459.8796,86.3561
423,462.3552,11.1229
423,475.204,99.4388
423,503.1,56.5283
423,506.8341,15.1693
423,556.9892,11.7453
423,590.8437,0.8561
423,627.1791,0.2234
423,706.8614,19.3875
423,710.3194,2.5352
423,720.4016,4.154
423,774.2743,34.1688
423,836.2812,36.6117
423,843.0692,3.4061
423,849.3879,19.3768
423,892.1392,1.7053
423,947.5723,30.024
423,971.3623,0.0139
423,981.8834,0.0021
423,1053.418,20.1529
423,1088.0236,2.4071
423,1118.0957,9.374
423,1161.2464,84.8137
423,1170.715,231.1151
423,1188.8805,20.8839
423,1208.5078,223.7766
423,1244.7055,142.6833
423,1322.4101,75.5263
423,1328.4756,287.0862
423,1367.3458,15.2547
423,1395.3316,274.183
423,1408.6796,36.6479
423,1451.3604,105.151
423,1481.6099,81.816
